name,type,subdistrict,district,province,standard,approve_date,status
ร้านอาหารบ้านบานชื่น,ร้านจำหน่ายอาหาร,บุ่ง,เมืองอำนาจเจริญ,อำนาจเจริญ,SAN,2025-08-04,ไม่ผ่านเกณฑ์
ร้านอาหารปิ่นโต,ร้านจำหน่ายอาหาร,บุ่ง,เมืองอำนาจเจริญ,อำนาจเจริญ,SAN,2025-08-04,ไม่ผ่านเกณฑ์
Shangchai/ชาบู,ร้านจำหน่ายอาหาร,บุ่ง,เมืองอำนาจเจริญ,อำนาจเจริญ,SAN PLUS,2024-09-25,รับรอง
ร้านก๋วยเตี๋ยวเรือสองนาง,ร้านจำหน่ายอาหาร,เสนางคนิคม,เสนางคนิคม,อำนาจเจริญ,SAN PLUS,2024-06-08,หมดอายุ
ร้านลาบเป็ดคนลือ,ร้านจำหน่ายอาหาร,อำนาจ,ลืออำนาจ,อำนาจเจริญ,SAN,2024-08-27,ไม่ผ่านเกณฑ์
บ้านสวนริมโขงครัวเจ๊มุก,ร้านจำหน่ายอาหาร,ชานุมาน,ชานุมาน,อำนาจเจริญ,SAN,2024-08-27,ไม่ผ่านเกณฑ์
สวนอาหารน้ำตกวังปลา,สวนอาหาร,รัตนวารี,หัวตะพาน,อำนาจเจริญ,มาตรฐาน SAN,2024-07-11,หมดอายุ
กินตำ,ร้านจำหน่ายอาหาร,พระเหลา,พนา,อำนาจเจริญ,มาตรฐาน SAN,2024-08-02,หมดอายุ
โคตรจั๊บ,ร้านจำหน่ายอาหาร,พระเหลา,พนา,อำนาจเจริญ,SAN,2024-08-02,ไม่ผ่านเกณฑ์
ปังปัง,ร้านจำหน่ายอาหาร,พระเหลา,พนา,อำนาจเจริญ,SAN,2024-08-02,ไม่ผ่านเกณฑ์
ร้านเนสกาแฟสตีทคาเฟ่,ร้านจำหน่ายอาหาร,รัตนวารี,หัวตะพาน,อำนาจเจริญ,SAN,2025-05-19,รับรอง
ปิยะพรกาแฟสด,อื่นๆ,หนองแก้ว,หัวตะพาน,อำนาจเจริญ,SAN,2025-05-20,รับรอง
น้ำปั่นคุณาสิน,อื่นๆ,รัตนวารี,หัวตะพาน,อำนาจเจริญ,มาตรฐาน SAN,2025-08-04,หมดอายุ
แซ่บก๋วยเตี่ยวเรือ,ร้านจำหน่ายอาหาร,รัตนวารี,หัวตะพาน,อำนาจเจริญ,มาตรฐาน SAN,2025-08-04,หมดอายุ
กาแฟเค็กดอยไทย,ร้านจำหน่ายอาหาร,รัตนวารี,หัวตะพาน,อำนาจเจริญ,SAN,2025-05-19,รับรอง
แฮปปี้คัพทรี,ร้านจำหน่ายอาหาร,รัตนวารี,หัวตะพาน,อำนาจเจริญ,มาตรฐาน SAN,2025-08-04,หมดอายุ
บัวหลวงหมูกะทะ,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),รัตนวารี,หัวตะพาน,อำนาจเจริญ,SAN PLUS,2024-08-14,หมดอายุ
ก๋วยจั๊บจี๊ด,ร้านจำหน่ายอาหาร,รัตนวารี,หัวตะพาน,อำนาจเจริญ,SAN,2025-05-19,รับรอง
ร้านเจ๊วารี,ร้านจำหน่ายอาหาร,รัตนวารี,หัวตะพาน,อำนาจเจริญ,SAN,2024-09-09,ไม่ผ่านเกณฑ์
ตาต๋อนอาหารตามสั่ง,ร้านจำหน่ายอาหาร,รัตนวารี,หัวตะพาน,อำนาจเจริญ,SAN,2024-09-09,ไม่ผ่านเกณฑ์
ร้านอาหาร 291,ร้านจำหน่ายอาหาร,รัตนวารี,หัวตะพาน,อำนาจเจริญ,มาตรฐาน SAN,2024-08-13,หมดอายุ
ร้านก๋วยจั๊บไพวรรณ,ร้านจำหน่ายอาหาร,หัวตะพาน,หัวตะพาน,อำนาจเจริญ,มาตรฐาน SAN,2024-08-07,หมดอายุ
เรือนแก้ว,ร้านจำหน่ายอาหาร,รัตนวารี,หัวตะพาน,อำนาจเจริญ,SAN,2025-05-19,รับรอง
ร้านก๋วยจั๊บวิไล,ร้านจำหน่ายอาหาร,รัตนวารี,หัวตะพาน,อำนาจเจริญ,มาตรฐาน SAN,2024-08-07,หมดอายุ
ลาบเป็ดปากิม,ร้านจำหน่ายอาหาร,หนองแก้ว,หัวตะพาน,อำนาจเจริญ,SAN,2025-05-19,รับรอง
อาหารตามสั่งนงลักษณ์,ร้านจำหน่ายอาหาร,หนองแก้ว,หัวตะพาน,อำนาจเจริญ,SAN,2025-05-19,รับรอง
กาแฟลาวสบายดี,ร้านเครื่องดื่ม,รัตนวารี,หัวตะพาน,อำนาจเจริญ,SAN,2024-08-07,ไม่ผ่านเกณฑ์
อาหารตามสั่งอุไร,ร้านจำหน่ายอาหาร,รัตนวารี,หัวตะพาน,อำนาจเจริญ,SAN,2025-05-19,รับรอง
ร้านตำแหลกแช่บลืมผัว,ร้านจำหน่ายอาหาร,อำนาจ,ลืออำนาจ,อำนาจเจริญ,มาตรฐาน SAN,2024-08-27,หมดอายุ
NAWA' Cafeteria,ร้านจำหน่ายอาหาร,นาหว้า,ปทุมราชวงศา,อำนาจเจริญ,SAN,2025-06-10,รับรอง
เนื้อย่างฟาร์มกบ,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),บุ่ง,เมืองอำนาจเจริญ,อำนาจเจริญ,SAN,2024-08-27,ไม่ผ่านเกณฑ์
จัีบอุบล cafe @ อำนาจเจริญ,ร้านจำหน่ายอาหาร,บุ่ง,เมืองอำนาจเจริญ,อำนาจเจริญ,SAN,2024-08-27,ไม่ผ่านเกณฑ์
ไร่คุณหมอ ออร์แกนิก,ร้านเครื่องดื่ม,หนองมะแซว,เมืองอำนาจเจริญ,อำนาจเจริญ,มาตรฐาน SAN,2024-08-27,หมดอายุ
สวนอาหารบ้านปอแก้ว,สวนอาหาร,บุ่ง,เมืองอำนาจเจริญ,อำนาจเจริญ,มาตรฐาน SAN,2024-08-27,หมดอายุ
อีสานชาบู,ร้านจำหน่ายอาหาร,บุ่ง,เมืองอำนาจเจริญ,อำนาจเจริญ,SAN,2024-08-27,ไม่ผ่านเกณฑ์
One ดีดี,ร้านจำหน่ายอาหาร,ห้วยไร่,เมืองอำนาจเจริญ,อำนาจเจริญ,SAN,2024-08-27,ไม่ผ่านเกณฑ์
โกดังหมูกะทะ,ร้านจำหน่ายอาหาร,ห้วยไร่,เมืองอำนาจเจริญ,อำนาจเจริญ,มาตรฐาน SAN,2024-08-27,หมดอายุ
ทนายแซ่บ,ร้านจำหน่ายอาหาร,เสนางคนิคม,เสนางคนิคม,อำนาจเจริญ,มาตรฐาน SAN,2024-08-27,หมดอายุ
เด็กติดชา 1,ร้านเครื่องดื่ม,บุ่ง,เมืองอำนาจเจริญ,อำนาจเจริญ,มาตรฐาน SAN,2024-08-27,หมดอายุ
Happy cafe and resterant,ร้านจำหน่ายอาหาร,บุ่ง,เมืองอำนาจเจริญ,อำนาจเจริญ,มาตรฐาน SAN,2024-08-27,หมดอายุ
เตาถ่านโคขุนโพนยางคำ,ร้านจำหน่ายอาหาร,บุ่ง,เมืองอำนาจเจริญ,อำนาจเจริญ,SAN,2024-08-27,ไม่ผ่านเกณฑ์
อาหารญี่ปุ่นไซโคว,ร้านจำหน่ายอาหาร,บุ่ง,เมืองอำนาจเจริญ,อำนาจเจริญ,มาตรฐาน SAN,2024-08-27,หมดอายุ
โอ๊คกาแฟสด,ร้านจำหน่ายอาหาร,บุ่ง,เมืองอำนาจเจริญ,อำนาจเจริญ,SAN,2024-08-27,ไม่ผ่านเกณฑ์
Mom's Dream,ร้านจำหน่ายอาหาร,บุ่ง,เมืองอำนาจเจริญ,อำนาจเจริญ,มาตรฐาน SAN,2024-08-27,หมดอายุ
ครัวไทย,ร้านจำหน่ายอาหาร,บุ่ง,เมืองอำนาจเจริญ,อำนาจเจริญ,SAN,2024-08-27,ไม่ผ่านเกณฑ์
ลูกชิ้นทิพย์,ศูนย์อาหาร,บุ่ง,เมืองอำนาจเจริญ,อำนาจเจริญ,มาตรฐาน SAN,2024-08-27,หมดอายุ
บ้านปลูกรัก,ร้านจำหน่ายอาหาร,บุ่ง,เมืองอำนาจเจริญ,อำนาจเจริญ,SAN,2024-08-27,ไม่ผ่านเกณฑ์
เบญจวรรณนครปฐม,ร้านจำหน่ายอาหาร,บุ่ง,เมืองอำนาจเจริญ,อำนาจเจริญ,มาตรฐาน SAN,2024-08-27,หมดอายุ
ล้านอาหารเจ,ร้านจำหน่ายอาหาร,บุ่ง,เมืองอำนาจเจริญ,อำนาจเจริญ,มาตรฐาน SAN,2024-08-27,หมดอายุ
ลาบสองพี่น้อง,ร้านจำหน่ายอาหาร,บุ่ง,เมืองอำนาจเจริญ,อำนาจเจริญ,มาตรฐาน SAN,2024-08-27,หมดอายุ
ป้าแก้วรสแซ่บ,ร้านจำหน่ายอาหาร,บุ่ง,เมืองอำนาจเจริญ,อำนาจเจริญ,มาตรฐาน SAN,2024-08-27,หมดอายุ
ไก่ย่าง ส้มตำ แม่ทองยวน,ร้านจำหน่ายอาหาร,บุ่ง,เมืองอำนาจเจริญ,อำนาจเจริญ,มาตรฐาน SAN,2024-08-27,หมดอายุ
รุ่งอรุณ หมูกะทะ แจ่วฮ้อน,ร้านจำหน่ายอาหาร,บุ่ง,เมืองอำนาจเจริญ,อำนาจเจริญ,มาตรฐาน SAN,2024-08-27,หมดอายุ
เจ๊สาอาหารแซ่บ,ร้านจำหน่ายอาหาร,บุ่ง,เมืองอำนาจเจริญ,อำนาจเจริญ,SAN,2025-05-14,รับรอง
ไก่ย่างหน้าวัดปัญจะ,ร้านจำหน่ายอาหาร,รัตนวารี,หัวตะพาน,อำนาจเจริญ,มาตรฐาน SAN,2024-09-09,หมดอายุ
ข้าวมันไก่ ก๋วยเตี๋ยวไก่,ร้านจำหน่ายอาหาร,พนา,พนา,อำนาจเจริญ,SAN,2025-08-04,ไม่ผ่านเกณฑ์
อิสราเย็นตาโฟ,ร้านจำหน่ายอาหาร,พนา,พนา,อำนาจเจริญ,SAN,2025-08-04,ไม่ผ่านเกณฑ์
ครัวบ้านแม่,ร้านจำหน่ายอาหาร,พระเหลา,พนา,อำนาจเจริญ,SAN,2025-08-04,ไม่ผ่านเกณฑ์
ลาบยโสธร,ร้านจำหน่ายอาหาร,พระเหลา,พนา,อำนาจเจริญ,มาตรฐาน SAN,2024-09-11,หมดอายุ
ดอนตาลเนื้อย่างเกาหลี,ร้านจำหน่ายอาหาร,พระเหลา,พนา,อำนาจเจริญ,มาตรฐาน SAN,2024-09-24,หมดอายุ
ศิริพร ส้มตำ ไก่ย่าง,ร้านจำหน่ายอาหาร,พระเหลา,พนา,อำนาจเจริญ,SAN,2025-05-27,รับรอง
เมี่ยงปลา,ร้านจำหน่ายอาหาร,พระเหลา,พนา,อำนาจเจริญ,SAN,2025-05-27,รับรอง
นุชตามสั่ง,ร้านจำหน่ายอาหาร,พระเหลา,พนา,อำนาจเจริญ,SAN,2025-05-27,รับรอง
ก๋วยเตี๋ยวเต๋ปาก,ร้านจำหน่ายอาหาร,พนา,พนา,อำนาจเจริญ,SAN PLUS,2025-07-07,รับรอง
ก๋วยเตี๋ยวไก่มะระ,ร้านจำหน่ายอาหาร,พนา,พนา,อำนาจเจริญ,SAN,2025-08-04,ไม่ผ่านเกณฑ์
คุณแดงเนื้อย่างเกาหลี,ร้านจำหน่ายอาหาร,พระเหลา,พนา,อำนาจเจริญ,SAN,2025-08-04,ไม่ผ่านเกณฑ์
"Triple มะ caf,e",ร้านจำหน่ายอาหาร,พนา,พนา,อำนาจเจริญ,มาตรฐาน SAN,2024-09-24,หมดอายุ
อิ่มอร่อย,ร้านจำหน่ายอาหาร,พระเหลา,พนา,อำนาจเจริญ,SAN,2025-06-16,รับรอง
เจ๊หมวย,ร้านจำหน่ายอาหาร,พนา,พนา,อำนาจเจริญ,SAN,2025-06-30,รับรอง
ส้มตำเปรมฤดี,ร้านจำหน่ายอาหาร,พนา,พนา,อำนาจเจริญ,SAN,2025-06-30,รับรอง
ไก่ย่างวิเชียรบุรี,ร้านจำหน่ายอาหาร,พระเหลา,พนา,อำนาจเจริญ,SAN,2025-05-27,รับรอง
ยายเป่ง,ร้านจำหน่ายอาหาร,พนา,พนา,อำนาจเจริญ,SAN,2025-04-08,รับรอง
ลาบพนา,ร้านจำหน่ายอาหาร,พระเหลา,พนา,อำนาจเจริญ,SAN,2025-05-27,รับรอง
ตามสั่งเจ๊เพ็ญ,ร้านจำหน่ายอาหาร,พนา,พนา,อำนาจเจริญ,SAN,2024-08-31,รับรอง
แม่รุ้ง ส้มตำ ไก่ย่าง,ร้านจำหน่ายอาหาร,พนา,พนา,อำนาจเจริญ,SAN,2024-09-24,ไม่ผ่านเกณฑ์
กินข้าวป่ะ / ตุ้ยนุ้ย,ร้านจำหน่ายอาหาร,พระเหลา,พนา,อำนาจเจริญ,SAN,2025-08-04,ไม่ผ่านเกณฑ์
ชิลล์ ชิลล์,ร้านจำหน่ายอาหาร,พระเหลา,พนา,อำนาจเจริญ,SAN,2025-08-04,ไม่ผ่านเกณฑ์
อเมซอน สาขา หจก บุญประเสริฐ,ร้านจำหน่ายอาหาร,ไก่คำ,เมืองอำนาจเจริญ,อำนาจเจริญ,มาตรฐาน SAN,2025-07-01,หมดอายุ
ทอฮัก การ์เด้น,ร้านจำหน่ายอาหาร,บุ่ง,เมืองอำนาจเจริญ,อำนาจเจริญ,มาตรฐาน SAN,2024-09-11,หมดอายุ
ตะวันแดง,อื่นๆ,บุ่ง,เมืองอำนาจเจริญ,อำนาจเจริญ,SAN,2025-05-27,รับรอง
