name,type,subdistrict,district,province,standard,approve_date,status
สวนอาหาร ครัวคุณนิด,สวนอาหาร,หมากแข้ง,เมืองอุดรธานี,อุดรธานี,SAN,2023-07-12,ไม่ผ่านเกณฑ์
วัฒนา คิวซีน,ร้านจำหน่ายอาหาร,หมากแข้ง,เมืองอุดรธานี,อุดรธานี,SAN,2024-11-15,ไม่ผ่านเกณฑ์
วีที แหนมเนือง คอมมูนิตี้,ภัตาคาร,บ้านจั่น,เมืองอุดรธานี,อุดรธานี,SAN,2024-04-11,ไม่ผ่านเกณฑ์
สวนอาหารมัจฉาผาสุข,สวนอาหาร,หมูม่น,เมืองอุดรธานี,อุดรธานี,SAN,2024-04-11,ไม่ผ่านเกณฑ์
สวนอาหาร อ.กุ้งเผา อุดรธานี,สวนอาหาร,หนองบัว,เมืองอุดรธานี,อุดรธานี,SAN,2024-04-11,ไม่ผ่านเกณฑ์
เจ๊ ปอปิ่น,ร้านจำหน่ายอาหาร,แชแล,กุมภวาปี,อุดรธานี,SAN,2024-04-29,ไม่ผ่านเกณฑ์
รสนิยมข้าวน้ำพริก,ร้านจำหน่ายอาหาร,บ้านเลื่อม,เมืองอุดรธานี,อุดรธานี,SAN,2024-04-24,ไม่ผ่านเกณฑ์
เเสงสว่างหมูย่างเกาหลี,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),ทุ่งฝน,ทุ่งฝน,อุดรธานี,SAN,2023-05-09,ไม่ผ่านเกณฑ์
นายวานเนื้อตุ๋น,ร้านจำหน่ายอาหาร,ทุ่งฝน,ทุ่งฝน,อุดรธานี,SAN,2023-05-18,ไม่ผ่านเกณฑ์
เเต็งกิ้ว,ร้านจำหน่ายอาหาร,ทุ่งฝน,ทุ่งฝน,อุดรธานี,SAN,2025-07-01,รับรอง
เคหวะชาบู,ร้านจำหน่ายอาหาร,ทุ่งฝน,ทุ่งฝน,อุดรธานี,SAN,2025-02-24,รับรอง
เจ้ยโภชนา,ร้านจำหน่ายอาหาร,ทุ่งฝน,ทุ่งฝน,อุดรธานี,SAN,2023-05-18,ไม่ผ่านเกณฑ์
ตระกูลอ.,ร้านจำหน่ายอาหาร,ทุ่งฝน,ทุ่งฝน,อุดรธานี,SAN,2023-05-18,ไม่ผ่านเกณฑ์
บ้านสวนชาบู,ร้านจำหน่ายอาหาร,ทุ่งฝน,ทุ่งฝน,อุดรธานี,SAN,2023-05-18,ไม่ผ่านเกณฑ์
อิงอิงปลาเผา,ร้านจำหน่ายอาหาร,ทุ่งฝน,ทุ่งฝน,อุดรธานี,SAN,2023-05-18,ไม่ผ่านเกณฑ์
ครัวคุณเพ็ญ,ร้านจำหน่ายอาหาร,ทุ่งฝน,ทุ่งฝน,อุดรธานี,SAN,2025-07-02,รับรอง
ร้านฟิล์มฟ้างหมูกะทะ,ร้านจำหน่ายอาหาร,ศรีสุทโธ,บ้านดุง,อุดรธานี,SAN,2024-10-24,รับรอง
ร้านแม่นวย,ร้านจำหน่ายอาหาร,นาชุมแสง,ทุ่งฝน,อุดรธานี,SAN,2024-04-24,ไม่ผ่านเกณฑ์
นีโน่สะดิ้งก๋วยเตี๋ยว,ร้านจำหน่ายอาหาร,นาชุมแสง,ทุ่งฝน,อุดรธานี,SAN,2024-04-25,ไม่ผ่านเกณฑ์
สุดยอดลาบเป็ด,สวนอาหาร,บ้านโปร่ง,ศรีธาตุ,อุดรธานี,SAN,2024-04-26,ไม่ผ่านเกณฑ์
เจ้าขวัญหมูกระทะ,ร้านจำหน่ายอาหาร,ทุ่งฝน,ทุ่งฝน,อุดรธานี,SAN,2024-04-25,ไม่ผ่านเกณฑ์
ต้นม่วงทาอิน,ร้านจำหน่ายอาหาร,ทุ่งฝน,ทุ่งฝน,อุดรธานี,SAN,2024-10-22,รับรอง
