name,type,subdistrict,district,province,standard,approve_date,status
ร้านอาหารระเบียงน่าน,ร้านจำหน่ายอาหาร,ผาเลือด,ท่าปลา,อุตรดิตถ์,SAN,2025-06-10,ไม่ผ่านเกณฑ์
ร้านลับแลลาลีก้า,ร้านจำหน่ายอาหาร,ฝายหลวง,ลับแล,อุตรดิตถ์,มาตรฐาน SAN,2024-09-02,หมดอายุ
ร้านลมเย็น,ร้านจำหน่ายอาหาร,ป่าเซ่า,เมืองอุตรดิตถ์,อุตรดิตถ์,SAN,2025-06-10,ไม่ผ่านเกณฑ์
เทียนหอม,ร้านจำหน่ายอาหาร,ป่าเซ่า,เมืองอุตรดิตถ์,อุตรดิตถ์,SAN,2025-06-10,ไม่ผ่านเกณฑ์
วิภาอาหารตามสั่ง,ร้านจำหน่ายอาหาร,ทุ่งยั้ง,ลับแล,อุตรดิตถ์,SAN,2024-09-10,รับรอง
ตาอาหารตามสั่ง,ร้านจำหน่ายอาหาร,ทุ่งยั้ง,ลับแล,อุตรดิตถ์,SAN,2023-09-26,ไม่ผ่านเกณฑ์
อิงภู,ร้านจำหน่ายอาหาร,ด่านแม่คำมัน,ลับแล,อุตรดิตถ์,SAN,2024-09-10,รับรอง
ร้านอาหารตามสั่งแมง,ร้านจำหน่ายอาหาร,ด่านแม่คำมัน,ลับแล,อุตรดิตถ์,SAN,2023-09-26,ไม่ผ่านเกณฑ์
ร้านอาหารตามสั่งรุ่งนภา,ร้านจำหน่ายอาหาร,ด่านแม่คำมัน,ลับแล,อุตรดิตถ์,SAN,2024-09-10,รับรอง
แสงเดือน  เฟื่องฟู,ร้านจำหน่ายอาหาร,แม่พูล,ลับแล,อุตรดิตถ์,SAN,2023-09-26,ไม่ผ่านเกณฑ์
ประทุม ผากเปี้ย,ร้านจำหน่ายอาหาร,แม่พูล,ลับแล,อุตรดิตถ์,SAN,2025-05-23,รับรอง
ร้านก๋วยเตี๋ยวไทยใบตอง,ร้านจำหน่ายอาหาร,ทุ่งยั้ง,ลับแล,อุตรดิตถ์,SAN,2023-09-26,ไม่ผ่านเกณฑ์
ป๋าเหนาะกาแฟสด,ร้านจำหน่ายอาหาร,ทุ่งยั้ง,ลับแล,อุตรดิตถ์,SAN,2024-12-09,รับรอง
ร้านนุชแซ่บเวอร์,ร้านจำหน่ายอาหาร,นานกกก,ลับแล,อุตรดิตถ์,SAN,2024-08-29,ไม่ผ่านเกณฑ์
ร้าวปราณี ข้าวพัน,ร้านจำหน่ายอาหาร,นานกกก,ลับแล,อุตรดิตถ์,SAN,2024-08-29,ไม่ผ่านเกณฑ์
นางมนทชา โรจน์บวรเดช,ร้านจำหน่ายอาหาร,นานกกก,ลับแล,อุตรดิตถ์,SAN,2024-08-29,ไม่ผ่านเกณฑ์
นางประนอม กำลังหาร,ร้านจำหน่ายอาหาร,นานกกก,ลับแล,อุตรดิตถ์,SAN,2023-09-26,ไม่ผ่านเกณฑ์
นางธัญญลักษณ์ รักธรรม,ร้านจำหน่ายอาหาร,นานกกก,ลับแล,อุตรดิตถ์,SAN,2023-09-26,ไม่ผ่านเกณฑ์
ร้านจิมเต๊อะ,ร้านจำหน่ายอาหาร,นานกกก,ลับแล,อุตรดิตถ์,SAN,2025-06-16,รับรอง
นางซิม    กลเรียน,ร้านจำหน่ายอาหาร,นานกกก,ลับแล,อุตรดิตถ์,SAN,2025-06-16,รับรอง
บ้านสวนเมล่อน,ร้านเครื่องดื่ม,นานกกก,ลับแล,อุตรดิตถ์,SAN,2023-06-14,ไม่ผ่านเกณฑ์
ปูดูเต่า,ร้านจำหน่ายอาหาร,ไผ่ล้อม,ลับแล,อุตรดิตถ์,SAN,2025-06-10,รับรอง
ร้านบ้านสวน,ร้านเครื่องดื่ม,นานกกก,ลับแล,อุตรดิตถ์,SAN,2025-07-07,รับรอง
ป้าพิศ,ร้านจำหน่ายอาหาร,ทุ่งยั้ง,ลับแล,อุตรดิตถ์,SAN,2023-09-26,ไม่ผ่านเกณฑ์
ป้านองอาหารตามสั่ง,ร้านจำหน่ายอาหาร,ทุ่งยั้ง,ลับแล,อุตรดิตถ์,SAN,2023-08-07,ไม่ผ่านเกณฑ์
อร่อยเวอร์,สวนอาหาร,ทุ่งยั้ง,ลับแล,อุตรดิตถ์,SAN,2023-08-07,ไม่ผ่านเกณฑ์
ร้านยายจ๋า,ร้านจำหน่ายอาหาร,ทุ่งยั้ง,ลับแล,อุตรดิตถ์,SAN,2023-09-22,ไม่ผ่านเกณฑ์
67 ก๋วยเตี่ยว,ร้านจำหน่ายอาหาร,ทุ่งยั้ง,ลับแล,อุตรดิตถ์,SAN,2023-06-09,ไม่ผ่านเกณฑ์
ครัวข้าวพันป่าเผือก,สวนอาหาร,ทุ่งยั้ง,ลับแล,อุตรดิตถ์,SAN,2023-08-07,ไม่ผ่านเกณฑ์
เตี๋ยวตกตาล,ร้านจำหน่ายอาหาร,ทุ่งยั้ง,ลับแล,อุตรดิตถ์,SAN,2025-07-30,รับรอง
