name,type,subdistrict,district,province,standard,approve_date,status
บ้านนอกริมนา,ร้านจำหน่ายอาหาร,ท่าโพ,หนองขาหย่าง,อุทัยธานี,SAN,2025-07-14,ไม่ผ่านเกณฑ์
กาแฟลูมคาเฟ่,อื่นๆ,บ้านไร่,บ้านไร่,อุทัยธานี,SAN PLUS,2024-12-26,รับรอง
สะนำคาเฟ่,ร้านจำหน่ายอาหาร,บ้านไร่,บ้านไร่,อุทัยธานี,SAN,2023-09-06,ไม่ผ่านเกณฑ์
สวนอาหารนกน้อย,ร้านจำหน่ายอาหาร,อุทัยใหม่,เมืองอุทัยธานี,อุทัยธานี,SAN,2025-07-14,ไม่ผ่านเกณฑ์
สวนอาหารพรหมท่าซุง,ร้านจำหน่ายอาหาร,น้ำซึม,เมืองอุทัยธานี,อุทัยธานี,SAN,2025-07-14,ไม่ผ่านเกณฑ์
หุบป่าตาดการ์เด้น,ร้านจำหน่ายอาหาร,ลานสัก,ลานสัก,อุทัยธานี,SAN,2023-09-06,ไม่ผ่านเกณฑ์
บ้านขายเขาสวิตเซอร์แลนต์,ร้านจำหน่ายอาหาร,ทุ่งนางาม,ลานสัก,อุทัยธานี,SAN,2023-09-06,ไม่ผ่านเกณฑ์
หุบป่าตาดไบค์แค้มป์,ร้านจำหน่ายอาหาร,ทุ่งนางาม,ลานสัก,อุทัยธานี,SAN,2023-09-06,ไม่ผ่านเกณฑ์
โซลเมทคาเฟ่,ร้านจำหน่ายอาหาร,บ้านไร่,บ้านไร่,อุทัยธานี,SAN,2023-09-06,ไม่ผ่านเกณฑ์
โฟ เจ๋ง จัง,ร้านจำหน่ายอาหาร,อุทัยใหม่,เมืองอุทัยธานี,อุทัยธานี,SAN,2025-07-31,ไม่ผ่านเกณฑ์
ร้านแตนโภชนา,ร้านจำหน่ายอาหาร,ลานสัก,ลานสัก,อุทัยธานี,SAN,2025-07-04,รับรอง
รุ่งโภชนา,ร้านจำหน่ายอาหาร,ทัพหลวง,บ้านไร่,อุทัยธานี,SAN,2024-05-23,ไม่ผ่านเกณฑ์
ครัวลุงโก๊ะ,ร้านจำหน่ายอาหาร,ลานสัก,ลานสัก,อุทัยธานี,SAN,2023-09-11,ไม่ผ่านเกณฑ์
ร้านครัวป้าไก่,ร้านจำหน่ายอาหาร,บ้านไร่,บ้านไร่,อุทัยธานี,SAN,2025-07-14,ไม่ผ่านเกณฑ์
โรงอาหารบริษัทอุตสาหกรรมน้ำตาลบ้านไร่ จำกัด,โรงอาหาร,ทัพหลวง,บ้านไร่,อุทัยธานี,SAN,2023-09-11,ไม่ผ่านเกณฑ์
ร้านหน้าไร่,ร้านจำหน่ายอาหาร,ทัพทัน,ทัพทัน,อุทัยธานี,SAN,2025-07-12,ไม่ผ่านเกณฑ์
ครัวป้าสมนึก,ร้านจำหน่ายอาหาร,ทัพหลวง,บ้านไร่,อุทัยธานี,SAN,2024-05-24,ไม่ผ่านเกณฑ์
Dkr strek house,ร้านจำหน่ายอาหาร,ทองหลาง,ห้วยคต,อุทัยธานี,SAN,2024-05-23,ไม่ผ่านเกณฑ์
ศาลาโค๊ก,ร้านจำหน่ายอาหาร,ท่าซุง,เมืองอุทัยธานี,อุทัยธานี,SAN,2025-07-12,ไม่ผ่านเกณฑ์
ครัวคุ้งสำเภา,ร้านจำหน่ายอาหาร,ท่าซุง,เมืองอุทัยธานี,อุทัยธานี,SAN,2025-07-12,ไม่ผ่านเกณฑ์
ร้านอาหารป้ายก,อื่นๆ,เกาะเทโพ,เมืองอุทัยธานี,อุทัยธานี,SAN,2025-07-12,ไม่ผ่านเกณฑ์
ร้านอาหารต๋อง ปลาแม่น้ำ (เกาะเทโพ),อื่นๆ,เกาะเทโพ,เมืองอุทัยธานี,อุทัยธานี,SAN,2025-07-12,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวเจ๊แมวชามโต,ร้านจำหน่ายอาหาร,หนองขาหย่าง,หนองขาหย่าง,อุทัยธานี,SAN,2025-07-14,ไม่ผ่านเกณฑ์
