name,type,subdistrict,district,province,standard,approve_date,status
Papilio House,ร้านจำหน่ายอาหาร,บุ่งไหม,วารินชำราบ,อุบลราชธานี,SAN,2024-01-08,ไม่ผ่านเกณฑ์
ออนซอนซีฟุ๊ด,ร้านจำหน่ายอาหาร,ในเมือง,เมืองอุบลราชธานี,อุบลราชธานี,SAN,2025-07-21,รับรอง
โคขุนผาแต้มโขงเจียม,ร้านจำหน่ายอาหาร,ห้วยไผ่,โขงเจียม,อุบลราชธานี,SAN PLUS,2025-07-17,รับรอง
Pote Cafe&Bistro,ร้านจำหน่ายอาหาร,เมืองเดช,เดชอุดม,อุบลราชธานี,SAN PLUS,2024-06-24,หมดอายุ
วสช.เกษตรอินทรีย์เพื่อการแปรรูปทุ่งเดิ่น,อื่นๆ,ธาตุ,วารินชำราบ,อุบลราชธานี,SAN,2024-10-21,รับรอง
ครัวสาธา,ร้านจำหน่ายอาหาร,ในเมือง,เมืองอุบลราชธานี,อุบลราชธานี,SAN,2024-09-10,รับรอง
วริจจิตราคาเฟ่แอนด์ฟาร์ม,ร้านจำหน่ายอาหาร,กุศกร,ตระการพืชผล,อุบลราชธานี,SAN,2024-09-25,ไม่ผ่านเกณฑ์
ร้านมองมูล,อื่นๆ,แจระแม,เมืองอุบลราชธานี,อุบลราชธานี,SAN,2024-09-25,ไม่ผ่านเกณฑ์
ร้านณัฐกับต้อย,ร้านจำหน่ายอาหาร,นาคำ,ศรีเมืองใหม่,อุบลราชธานี,SAN,2025-05-06,รับรอง
โรงแรมนครา อุบล,อื่นๆ,ในเมือง,เมืองอุบลราชธานี,อุบลราชธานี,SAN,2025-08-18,รับรอง
บ้านไร่ญาดาแคมป์ปิ้ง,สวนอาหาร,กุดชมภู,พิบูลมังสาหาร,อุบลราชธานี,SAN,2025-05-23,ไม่ผ่านเกณฑ์
ร้านแก้มแดง Food&Cafe,ร้านจำหน่ายอาหาร,คำเจริญ,ตระการพืชผล,อุบลราชธานี,SAN,2024-09-25,ไม่ผ่านเกณฑ์
ร้านไชยวานหมูกระทะอำเภอน้ำขุ่น,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),ตาเกา,น้ำขุ่น,อุบลราชธานี,SAN,2025-06-20,รับรอง
ร้านอรนิชาเนื้อย่าง,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),โคกชำแระ,ทุ่งศรีอุดม,อุบลราชธานี,SAN,2025-07-19,ไม่ผ่านเกณฑ์
นงครญ คำใส,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),โคกชำแระ,ทุ่งศรีอุดม,อุบลราชธานี,SAN,2025-01-31,รับรอง
ไชยวานเนื้อย่างเกาหลี,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),โคกชำแระ,ทุ่งศรีอุดม,อุบลราชธานี,SAN,2025-01-31,รับรอง
ร้านก๋วยเตี๋ยวเรือ เอชา,ร้านจำหน่ายอาหาร,โคกชำแระ,ทุ่งศรีอุดม,อุบลราชธานี,มาตรฐาน SAN,2023-08-14,หมดอายุ
ร้านครัวบ้านทุ่ง,สวนอาหาร,โคกชำแระ,ทุ่งศรีอุดม,อุบลราชธานี,มาตรฐาน SAN,2023-06-08,หมดอายุ
KKสุกี้,ร้านจำหน่ายอาหาร,โคกชำแระ,ทุ่งศรีอุดม,อุบลราชธานี,SAN,2025-01-30,รับรอง
ครัวคุณครู ศรีเมืองใหม่,ร้านจำหน่ายอาหาร,นาคำ,ศรีเมืองใหม่,อุบลราชธานี,SAN,2025-07-01,รับรอง
ภู คอฟฟี่,ร้านเครื่องดื่ม,นาเยีย,นาเยีย,อุบลราชธานี,SAN,2023-08-15,ไม่ผ่านเกณฑ์
ร้านอาหารผักบุ้ง,ร้านจำหน่ายอาหาร,ขี้เหล็ก,น้ำขุ่น,อุบลราชธานี,SAN,2025-07-24,รับรอง
ขวัญแก้วลาบเป็ด,ร้านจำหน่ายอาหาร,ตาเกา,น้ำขุ่น,อุบลราชธานี,SAN,2025-07-24,รับรอง
หนุงหนิง คอฟฟี่,ร้านจำหน่ายอาหาร,ตาเกา,น้ำขุ่น,อุบลราชธานี,SAN,2025-07-24,รับรอง
