name,type,subdistrict,district,province,standard,approve_date,status
ร้านขายของ,อื่นๆ,ป่าตาล,ขุนตาล,เชียงราย,SAN,2025-01-13,ไม่ผ่านเกณฑ์
ร้านก๋วยเตี๋ยวต้มยำ,ร้านจำหน่ายอาหาร,แม่เจดีย์,เวียงป่าเป้า,เชียงราย,SAN,2025-01-13,ไม่ผ่านเกณฑ์
ร้านก๋วยเตี๊ยวเอมอร,ร้านจำหน่ายอาหาร,ศรีเมืองชุม,แม่สาย,เชียงราย,SAN,2025-01-09,ไม่ผ่านเกณฑ์
ร้านพี่มล,ร้านจำหน่ายอาหาร,ศรีเมืองชุม,แม่สาย,เชียงราย,SAN,2025-01-09,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวสามแยก,ร้านจำหน่ายอาหาร,ศรีเมืองชุม,แม่สาย,เชียงราย,SAN,2025-06-16,รับรอง
ครัวสำราญ,ร้านจำหน่ายอาหาร,ศรีเมืองชุม,แม่สาย,เชียงราย,SAN,2025-06-16,รับรอง
-,ร้านจำหน่ายอาหาร,ศรีเมืองชุม,แม่สาย,เชียงราย,SAN,2025-01-09,ไม่ผ่านเกณฑ์
ร้านก๋วยเตี๋ยวตำลึง,ร้านจำหน่ายอาหาร,ศรีเมืองชุม,แม่สาย,เชียงราย,SAN,2025-01-09,ไม่ผ่านเกณฑ์
ลาบน้องแป้ง,ร้านจำหน่ายอาหาร,ศรีเมืองชุม,แม่สาย,เชียงราย,SAN,2024-10-22,รับรอง
ร้านกาแฟอุ่นฮัก,ร้านเครื่องดื่ม,ศรีเมืองชุม,แม่สาย,เชียงราย,SAN,2025-06-20,รับรอง
ร้านลุงเต่า,ร้านจำหน่ายอาหาร,ศรีเมืองชุม,แม่สาย,เชียงราย,SAN,2025-01-09,ไม่ผ่านเกณฑ์
ร้านน้องโดมบะหมี่เกี๊ยวนั่งยาง,ร้านจำหน่ายอาหาร,ศรีเมืองชุม,แม่สาย,เชียงราย,มาตรฐาน SAN,2025-01-09,หมดอายุ
ก๋วยเตี๋ยวเป็ดพะโล้,ร้านจำหน่ายอาหาร,เวียง,เชียงแสน,เชียงราย,มาตรฐาน SAN,2025-01-09,หมดอายุ
ลูกชิ้นทิพย์ เชียงแสน,ร้านจำหน่ายอาหาร,เวียง,เชียงแสน,เชียงราย,SAN,2025-04-08,รับรอง
Gravity Cafe and More,ร้านเครื่องดื่ม,เวียง,เชียงแสน,เชียงราย,SAN,2025-05-04,รับรอง
Bake Time Coffee and Bakery,ร้านเครื่องดื่ม,เวียง,เชียงแสน,เชียงราย,SAN,2024-08-28,รับรอง
ข้าวราดแกงป้านงค์,ร้านจำหน่ายอาหาร,เวียง,เชียงแสน,เชียงราย,SAN,2025-07-04,รับรอง
ฮักเค้กเบเกอรี่ สาขา 2 เชียงแสน,ร้านจำหน่ายอาหาร,เวียง,เชียงแสน,เชียงราย,SAN,2025-05-04,รับรอง
จ.หมูจุ่ม,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),เวียง,เชียงแสน,เชียงราย,SAN,2025-01-08,ไม่ผ่านเกณฑ์
ฟองเบียร์ริมน้ำ,ร้านจำหน่ายอาหาร,เวียง,เชียงแสน,เชียงราย,SAN,2025-01-08,ไม่ผ่านเกณฑ์
ครัวข้างโขง,ร้านจำหน่ายอาหาร,เวียง,เชียงแสน,เชียงราย,SAN,2025-01-08,ไม่ผ่านเกณฑ์
บะหมี่เกี๊ยวปูเชียงแสน,ร้านจำหน่ายอาหาร,เวียง,เชียงแสน,เชียงราย,SAN,2025-01-08,ไม่ผ่านเกณฑ์
ข้าวต้มสามดอก,ร้านจำหน่ายอาหาร,เวียง,เชียงแสน,เชียงราย,SAN,2025-01-08,ไม่ผ่านเกณฑ์
เลอเมือง,ร้านจำหน่ายอาหาร,เวียง,เชียงแสน,เชียงราย,SAN,2025-07-07,รับรอง
ครัวมาลี,ร้านจำหน่ายอาหาร,เวียง,เชียงแสน,เชียงราย,SAN,2025-01-08,ไม่ผ่านเกณฑ์
เชียงแสนเป็ดย่าง,ร้านจำหน่ายอาหาร,เวียง,เชียงแสน,เชียงราย,SAN,2025-01-08,ไม่ผ่านเกณฑ์
ร้านข้าวต้ม25น,ร้านจำหน่ายอาหาร,เวียง,เชียงแสน,เชียงราย,SAN,2025-01-13,ไม่ผ่านเกณฑ์
ตำถาด By ดุ๋มดิ๋ม ,ร้านจำหน่ายอาหาร,เวียง,เชียงแสน,เชียงราย,SAN,2025-01-13,ไม่ผ่านเกณฑ์
ร้านน้ำปั่น,ร้านเครื่องดื่ม,เวียง,เชียงแสน,เชียงราย,SAN,2025-01-13,รับรอง
สามหญิง,ร้านจำหน่ายอาหาร,เวียง,เชียงแสน,เชียงราย,SAN,2025-05-05,รับรอง
มองดูน้ำ,ร้านเครื่องดื่ม,เวียง,เชียงแสน,เชียงราย,SAN,2025-01-13,รับรอง
เย็นซุ้ย,ร้านจำหน่ายอาหาร,เวียง,เชียงแสน,เชียงราย,SAN,2025-01-13,รับรอง
ป้ายอดน้ำเงี้ยว,ร้านจำหน่ายอาหาร,เวียง,เชียงแสน,เชียงราย,SAN,2025-05-05,รับรอง
ฝนโกเด้ง,ร้านจำหน่ายอาหาร,เวียง,เชียงแสน,เชียงราย,SAN,2025-01-13,รับรอง
ก๋วยเตี๋ยวเรือเจียงแสน,ร้านจำหน่ายอาหาร,เวียง,เชียงแสน,เชียงราย,SAN,2025-01-13,รับรอง
ข้าวแกงปักษ์ใต้,ร้านจำหน่ายอาหาร,เวียง,เชียงแสน,เชียงราย,SAN,2025-01-13,รับรอง
ครัวนัดพบ,ร้านจำหน่ายอาหาร,เวียง,เชียงแสน,เชียงราย,มาตรฐาน SAN,2025-01-08,หมดอายุ
