name,type,subdistrict,district,province,standard,approve_date,status
ร้านพลอย-มุก,ร้านจำหน่ายอาหาร,บ่อหลวง,ฮอด,เชียงใหม่,SAN PLUS,2025-06-16,รับรอง
ร้านก๋วยเตี๋ยว-อาหารตามสั่ง,ร้านจำหน่ายอาหาร,บ่อหลวง,ฮอด,เชียงใหม่,SAN,2024-04-22,ไม่ผ่านเกณฑ์
ร้านก๋วยเตี๋ยวไก่พะพรหลั่งไหล,ร้านจำหน่ายอาหาร,บ่อหลวง,ฮอด,เชียงใหม่,SAN PLUS,2025-07-09,รับรอง
ร้านก๋วยเตี๋ยวหมูตุ๋น,ร้านจำหน่ายอาหาร,บ่อหลวง,ฮอด,เชียงใหม่,SAN,2025-06-16,รับรอง
Salute To Youth​ coffee,ร้านเครื่องดื่ม,หายยา,เมืองเชียงใหม่,เชียงใหม่,SAN PLUS,2025-07-08,รับรอง
92 ราชดำเนิน,ร้านจำหน่ายอาหาร,ศรีภูมิ,เมืองเชียงใหม่,เชียงใหม่,SAN,2025-08-04,รับรอง
The Good View Village Restaurant&Karaoke,ร้านจำหน่ายอาหาร,แม่เหียะ,เมืองเชียงใหม่,เชียงใหม่,SAN PLUS,2025-07-19,รับรอง
โอ้กะจู๋ สาขาสันทราย,ร้านจำหน่ายอาหาร,หนองจ๊อม,สันทราย,เชียงใหม่,SAN,2024-10-21,ไม่ผ่านเกณฑ์
สามเสนวิลล่า,ร้านจำหน่ายอาหาร,วัดเกต,เมืองเชียงใหม่,เชียงใหม่,SAN,2023-03-14,ไม่ผ่านเกณฑ์
ภัตตาคารตูลู่,ภัตาคาร,หายยา,เมืองเชียงใหม่,เชียงใหม่,SAN,2023-03-14,ไม่ผ่านเกณฑ์
โรงอาหารโรงเรียนแม่แจ่ม,โรงอาหาร,ช่างเคิ่ง,แม่แจ่ม,เชียงใหม่,SAN,2024-04-22,ไม่ผ่านเกณฑ์
Sanfranc Mini Pizza,ร้านจำหน่ายอาหาร,ช้างคลาน,เมืองเชียงใหม่,เชียงใหม่,SAN,2024-04-22,ไม่ผ่านเกณฑ์
ราชาบะหมี่เกี๊ยว,ร้านจำหน่ายอาหาร,ดอยแก้ว,จอมทอง,เชียงใหม่,SAN,2024-04-22,ไม่ผ่านเกณฑ์
นิตยาการค้า,ร้านเครื่องดื่ม,บ้านหลวง,จอมทอง,เชียงใหม่,SAN PLUS,2025-07-19,รับรอง
ืร้านป้าเหรียญ,ร้านจำหน่ายอาหาร,บ่อหลวง,ฮอด,เชียงใหม่,SAN,2024-04-22,ไม่ผ่านเกณฑ์
ครัวต้นอ้อ,ร้านจำหน่ายอาหาร,บ่อหลวง,ฮอด,เชียงใหม่,SAN,2024-04-22,ไม่ผ่านเกณฑ์
ป้าเอ้ยอาหารตามสั่ง,ร้านจำหน่ายอาหาร,บ่อหลวง,ฮอด,เชียงใหม่,SAN,2024-04-22,ไม่ผ่านเกณฑ์
ลาบ-ส้มตำ,ร้านจำหน่ายอาหาร,บ่อหลวง,ฮอด,เชียงใหม่,SAN,2024-04-22,ไม่ผ่านเกณฑ์
ครัวบ้านติ๋ว,ร้านจำหน่ายอาหาร,บ่อหลวง,ฮอด,เชียงใหม่,SAN,2024-04-22,ไม่ผ่านเกณฑ์
เฮง เฮง,ร้านจำหน่ายอาหาร,บ่อหลวง,ฮอด,เชียงใหม่,SAN,2024-04-22,ไม่ผ่านเกณฑ์
ร้านลาบลุงคำ,ร้านจำหน่ายอาหาร,บ่อหลวง,ฮอด,เชียงใหม่,SAN,2024-04-22,ไม่ผ่านเกณฑ์
เรือนกรแก้ว,ร้านจำหน่ายอาหาร,บ่อหลวง,ฮอด,เชียงใหม่,SAN,2025-07-09,รับรอง
ร้านก๋วยเตี๋ยว,ร้านจำหน่ายอาหาร,บ่อหลวง,ฮอด,เชียงใหม่,SAN,2024-04-22,ไม่ผ่านเกณฑ์
