name,type,subdistrict,district,province,standard,approve_date,status
ครัวเม็ดทราย,ร้านจำหน่ายอาหาร,ชะอำ,ชะอำ,เพชรบุรี,SAN PLUS,2025-02-24,รับรอง
ครัวเคียงคลื่น,ร้านจำหน่ายอาหาร,ชะอำ,ชะอำ,เพชรบุรี,SAN,2024-11-29,ไม่ผ่านเกณฑ์
ครัวเทพพิทักษ์,ร้านจำหน่ายอาหาร,ชะอำ,ชะอำ,เพชรบุรี,SAN PLUS,2024-08-27,รับรอง
ร้านไอติมสเตชั่น,อื่นๆ,ชะอำ,ชะอำ,เพชรบุรี,SAN PLUS,2024-08-27,รับรอง
คาเฟ่อเมซอน (DD2056),ร้านเครื่องดื่ม,ชะอำ,ชะอำ,เพชรบุรี,SAN,2023-08-30,ไม่ผ่านเกณฑ์
สวนอาหารริมน้ำกัมพล ฟิชชิ่งปาร์ค&แซ่บปากอ้า,ร้านจำหน่ายอาหาร,ชะอำ,ชะอำ,เพชรบุรี,SAN,2024-11-28,ไม่ผ่านเกณฑ์
หจก.เมธีชาทัต คอฟฟี่เฮ้าส์,ร้านจำหน่ายอาหาร,ชะอำ,ชะอำ,เพชรบุรี,SAN,2023-03-08,ไม่ผ่านเกณฑ์
ร้านอาหารชมวิว ซีฟู๊ด,ร้านจำหน่ายอาหาร,ชะอำ,ชะอำ,เพชรบุรี,SAN,2023-03-07,ไม่ผ่านเกณฑ์
ครัวเคียงคลื่น,ร้านจำหน่ายอาหาร,ชะอำ,ชะอำ,เพชรบุรี,SAN,2023-03-16,ไม่ผ่านเกณฑ์
The 19th hole sports bar & grill,ร้านจำหน่ายอาหาร,ชะอำ,ชะอำ,เพชรบุรี,SAN,2024-12-09,รับรอง
อร่อย เรสเตอรอง,ร้านจำหน่ายอาหาร,ชะอำ,ชะอำ,เพชรบุรี,SAN,2023-06-01,ไม่ผ่านเกณฑ์
เอเชีย ชะอำ,ภัตาคาร,ชะอำ,ชะอำ,เพชรบุรี,SAN,2023-12-26,ไม่ผ่านเกณฑ์
โรงแรมเอลมาส ชะอำ ดีไซน์ โฮเท็ล,ภัตาคาร,ชะอำ,ชะอำ,เพชรบุรี,SAN PLUS,2025-07-21,รับรอง
บริษัท เอ็มเค เรสโตรองต์ กรุ๊ป จำกัด (มหาชน) (สาขาโลตัสชะอำ),ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),ชะอำ,ชะอำ,เพชรบุรี,SAN,2023-08-30,ไม่ผ่านเกณฑ์
โรงแรมเอซ ออฟ หัวหิน รีสอร์ท,ภัตาคาร,ชะอำ,ชะอำ,เพชรบุรี,SAN,2024-11-29,ไม่ผ่านเกณฑ์
ครัวเติมสุข,ร้านเครื่องดื่ม,ท่ายาง,ท่ายาง,เพชรบุรี,SAN,2023-03-30,ไม่ผ่านเกณฑ์
ครัวเจ้ปุ๊,ร้านจำหน่ายอาหาร,ต้นมะม่วง,เมืองเพชรบุรี,เพชรบุรี,SAN,2023-09-20,ไม่ผ่านเกณฑ์
ลาบเป็ดอุดร,ร้านจำหน่ายอาหาร,ชะอำ,ชะอำ,เพชรบุรี,SAN,2023-08-30,ไม่ผ่านเกณฑ์
ร้านข้าวมันไก่สุภิษะ,ร้านจำหน่ายอาหาร,ชะอำ,ชะอำ,เพชรบุรี,SAN,2023-08-30,ไม่ผ่านเกณฑ์
ชิล ชิล แอท บ้านเพลง,อื่นๆ,ชะอำ,ชะอำ,เพชรบุรี,SAN,2024-08-27,รับรอง
เจ้พัสอาหารตามสั่ง,ร้านจำหน่ายอาหาร,ชะอำ,ชะอำ,เพชรบุรี,SAN,2023-06-01,ไม่ผ่านเกณฑ์
นิพนธ์ รีสอร์ท,ร้านจำหน่ายอาหาร,ชะอำ,ชะอำ,เพชรบุรี,SAN,2023-08-30,ไม่ผ่านเกณฑ์
นก ซีฟู๊ด ,ร้านจำหน่ายอาหาร,ชะอำ,ชะอำ,เพชรบุรี,SAN,2024-11-28,ไม่ผ่านเกณฑ์
นิมิตร,ร้านจำหน่ายอาหาร,ชะอำ,ชะอำ,เพชรบุรี,SAN,2023-08-30,ไม่ผ่านเกณฑ์
ร้านอาหารชมทะเล,ร้านจำหน่ายอาหาร,ชะอำ,ชะอำ,เพชรบุรี,มาตรฐาน SAN,2023-08-30,หมดอายุ
แทททูจอห์นบาร์,ร้านจำหน่ายอาหาร,ชะอำ,ชะอำ,เพชรบุรี,SAN,2024-09-06,รับรอง
โรงแรมธารา มันตรา ชะอำ,ภัตาคาร,ชะอำ,ชะอำ,เพชรบุรี,SAN,2023-08-30,ไม่ผ่านเกณฑ์
โรงแรมดุสิตธานี,ภัตาคาร,ชะอำ,ชะอำ,เพชรบุรี,SAN,2024-09-06,รับรอง
ร้านดีดิน,ร้านจำหน่ายอาหาร,ชะอำ,ชะอำ,เพชรบุรี,SAN,2023-08-30,ไม่ผ่านเกณฑ์
เดอะวิลเลจบาร์ แอน เรสเตอรอง,ร้านจำหน่ายอาหาร,ชะอำ,ชะอำ,เพชรบุรี,SAN,2025-07-06,รับรอง
เดอะนิวเบอร์ดี้เรสเตอร์รองท์แอนดิ้ง,ร้านจำหน่ายอาหาร,ชะอำ,ชะอำ,เพชรบุรี,SAN PLUS,2024-06-27,หมดอายุ
เดอะเลานจ์,ร้านจำหน่ายอาหาร,ชะอำ,ชะอำ,เพชรบุรี,SAN,2025-07-06,รับรอง
เดซติเนชั่น รีสอร์ท หัวหิน ชะอำ บีช รีสอร์ท แอนด์ สปา,ภัตาคาร,ชะอำ,ชะอำ,เพชรบุรี,SAN,2025-07-06,รับรอง
โรงแรมเดอะปาลายานา,ภัตาคาร,ชะอำ,ชะอำ,เพชรบุรี,SAN,2025-07-06,รับรอง
ดับเบิ้ลซิก,ร้านจำหน่ายอาหาร,ชะอำ,ชะอำ,เพชรบุรี,SAN,2025-07-06,รับรอง
เป็นหนึ่งเรสเตอรองท์แอนด์ คาราโอเกะ ผับ ,ร้านจำหน่ายอาหาร,ชะอำ,ชะอำ,เพชรบุรี,SAN,2025-07-06,รับรอง
บริษัท ปาล์มฮิลส์ กอล์ฟ รีสอร์ท แอนด์ คันทรีคลับ จำกัด,ภัตาคาร,ชะอำ,ชะอำ,เพชรบุรี,SAN,2023-08-30,ไม่ผ่านเกณฑ์
บาบา บีช คลับโฮเต็ล ชะอำ-หัวหิน,ภัตาคาร,ชะอำ,ชะอำ,เพชรบุรี,SAN,2025-01-27,ไม่ผ่านเกณฑ์
บ้านครัวทะเล,ร้านจำหน่ายอาหาร,ชะอำ,ชะอำ,เพชรบุรี,SAN,2023-08-30,ไม่ผ่านเกณฑ์
บ้านพันทาย,ภัตาคาร,ชะอำ,ชะอำ,เพชรบุรี,SAN,2023-08-30,ไม่ผ่านเกณฑ์
