name,type,subdistrict,district,province,standard,approve_date,status
The BlueSky Restaurant,ร้านจำหน่ายอาหาร,แคมป์สน,เขาค้อ,เพชรบูรณ์,SAN,2024-09-09,ไม่ผ่านเกณฑ์
พีโน่ ลาเต้ รีสอร์ท แอนด์ คาเฟ่,ร้านจำหน่ายอาหาร,แคมป์สน,เขาค้อ,เพชรบูรณ์,SAN PLUS,2025-06-05,รับรอง
Green Field Farm & Bisto,ร้านจำหน่ายอาหาร,บ้านโคก,เมืองเพชรบูรณ์,เพชรบูรณ์,SAN,2024-10-15,ไม่ผ่านเกณฑ์
กุหลาบดอกใหม่,ร้านจำหน่ายอาหาร,สระประดู่,วิเชียรบุรี,เพชรบูรณ์,SAN PLUS,2025-02-10,รับรอง
เขาค้อรีสอร์ท,ร้านจำหน่ายอาหาร,แคมป์สน,เขาค้อ,เพชรบูรณ์,SAN PLUS,2025-08-13,รับรอง
นิวไก่ย่างบัวตอง,ร้านจำหน่ายอาหาร,สระประดู่,วิเชียรบุรี,เพชรบูรณ์,SAN PLUS,2024-07-04,หมดอายุ
NaHee Restaurant,ร้านจำหน่ายอาหาร,นางั่ว,เมืองเพชรบูรณ์,เพชรบูรณ์,SAN,2024-10-11,ไม่ผ่านเกณฑ์
ก๋วยเตี่ยวแม่ย่า,ร้านจำหน่ายอาหาร,วังชมภู,เมืองเพชรบูรณ์,เพชรบูรณ์,SAN,2025-04-25,ไม่ผ่านเกณฑ์
ร้านแต๋นโภชนา,ร้านจำหน่ายอาหาร,วังชมภู,เมืองเพชรบูรณ์,เพชรบูรณ์,SAN PLUS,2024-08-27,รับรอง
ไก่ย่างอุดรBy.WaewReborn,ร้านจำหน่ายอาหาร,หล่มเก่า,หล่มเก่า,เพชรบูรณ์,มาตรฐาน SAN,2024-09-09,หมดอายุ
ร้านขนมจีนป้ากุล,ร้านจำหน่ายอาหาร,หนองไขว่,หล่มสัก,เพชรบูรณ์,SAN,2024-10-15,ไม่ผ่านเกณฑ์
ร้านกาแฟ Smile coffee house,ร้านเครื่องดื่ม,ในเมือง,เมืองเพชรบูรณ์,เพชรบูรณ์,SAN,2024-10-15,ไม่ผ่านเกณฑ์
ร้านไก่ย่างลุงอู๊ด,ร้านจำหน่ายอาหาร,ทุ่งสมอ,เขาค้อ,เพชรบูรณ์,SAN,2025-01-31,รับรอง
ปันสุข เขาค้อ,ร้านจำหน่ายอาหาร,ทุ่งสมอ,เขาค้อ,เพชรบูรณ์,SAN,2025-01-31,รับรอง
ครัวเจ้ไน้,ร้านจำหน่ายอาหาร,พุเตย,วิเชียรบุรี,เพชรบูรณ์,มาตรฐาน SAN,2025-07-16,หมดอายุ
