name,type,subdistrict,district,province,standard,approve_date,status
บ้านท่าแพ,ร้านจำหน่ายอาหาร,กุดป่อง,เมืองเลย,เลย,SAN PLUS,2025-06-26,รับรอง
ร้านอาหารล้านช้าง,อื่นๆ,เมือง,เมืองเลย,เลย,SAN PLUS,2025-08-03,รับรอง
นางบุปผา ดีมีวงษ,ร้านจำหน่ายอาหาร,ท่าช้างคล้อง,ผาขาว,เลย,SAN,2023-07-11,ไม่ผ่านเกณฑ์
นางวาสนา ไกรมะณี,ร้านจำหน่ายอาหาร,ท่าช้างคล้อง,ผาขาว,เลย,SAN,2023-07-11,ไม่ผ่านเกณฑ์
นายไพศาล ดูแลนปิว,ร้านจำหน่ายอาหาร,ผาขาว,ผาขาว,เลย,SAN,2023-07-11,ไม่ผ่านเกณฑ์
กุสุมา หนูบาง,ร้านจำหน่ายอาหาร,ท่าช้างคล้อง,ผาขาว,เลย,SAN,2023-07-10,ไม่ผ่านเกณฑ์
ทองล้วน ศรีสวาท,ร้านจำหน่ายอาหาร,ผาขาว,ผาขาว,เลย,SAN,2023-07-11,ไม่ผ่านเกณฑ์
ลำพอง หร่องบุตรศรี,ร้านจำหน่ายอาหาร,ท่าช้างคล้อง,ผาขาว,เลย,SAN,2024-12-09,รับรอง
ชายทุ่ง,ร้านจำหน่ายอาหาร,ศรีฐาน,ภูกระดึง,เลย,มาตรฐาน SAN,2025-05-30,หมดอายุ
นัดพบ,ร้านจำหน่ายอาหาร,ศรีฐาน,ภูกระดึง,เลย,SAN,2025-05-30,ไม่ผ่านเกณฑ์
เดอะฮัก,ร้านจำหน่ายอาหาร,ภูกระดึง,ภูกระดึง,เลย,SAN,2023-05-08,ไม่ผ่านเกณฑ์
บ้านเพื่อน,ร้านจำหน่ายอาหาร,ภูกระดึง,ภูกระดึง,เลย,SAN,2023-05-08,ไม่ผ่านเกณฑ์
ฮักฮูก,ร้านจำหน่ายอาหาร,ผานกเค้า,ภูกระดึง,เลย,SAN,2025-05-30,ไม่ผ่านเกณฑ์
ผานกเค้าเนื้อย่าง,ร้านจำหน่ายอาหาร,ผานกเค้า,ภูกระดึง,เลย,SAN,2024-09-06,รับรอง
ครัวเพชรราชา,ร้านจำหน่ายอาหาร,กุดป่อง,เมืองเลย,เลย,SAN,2025-05-23,ไม่ผ่านเกณฑ์
จั๊บญวณเลย,ร้านจำหน่ายอาหาร,กุดป่อง,เมืองเลย,เลย,SAN,2024-07-17,ไม่ผ่านเกณฑ์
ครัวคุณตุ้ง,ร้านจำหน่ายอาหาร,กุดป่อง,เมืองเลย,เลย,SAN,2024-07-08,ไม่ผ่านเกณฑ์
หน่อยตำซั๊ว,ร้านจำหน่ายอาหาร,กุดป่อง,เมืองเลย,เลย,SAN,2024-07-17,ไม่ผ่านเกณฑ์
บ้านต้นหลิว,ร้านจำหน่ายอาหาร,กุดป่อง,เมืองเลย,เลย,SAN,2025-05-23,ไม่ผ่านเกณฑ์
ยำป้าตุ๋ย,ร้านจำหน่ายอาหาร,กุดป่อง,เมืองเลย,เลย,SAN,2024-07-08,ไม่ผ่านเกณฑ์
พิกุลลาบก้อย,ร้านจำหน่ายอาหาร,กุดป่อง,เมืองเลย,เลย,SAN,2024-06-13,ไม่ผ่านเกณฑ์
ข้าวเปียกปากหมา,ร้านจำหน่ายอาหาร,กุดป่อง,เมืองเลย,เลย,SAN,2024-07-08,ไม่ผ่านเกณฑ์
ข้าวเปียกลานชัย,ร้านจำหน่ายอาหาร,กุดป่อง,เมืองเลย,เลย,SAN,2025-05-23,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวน้ำตกกุดป่อง,ร้านจำหน่ายอาหาร,กุดป่อง,เมืองเลย,เลย,SAN,2024-06-24,ไม่ผ่านเกณฑ์
ใบเหลียงแกงใต้ by 2เพลา,ร้านจำหน่ายอาหาร,กุดป่อง,เมืองเลย,เลย,SAN,2024-07-08,ไม่ผ่านเกณฑ์
ห้องอาหารโบตั๋น (เลยพาเลซ),ภัตาคาร,กุดป่อง,เมืองเลย,เลย,SAN,2024-06-24,ไม่ผ่านเกณฑ์
เทียมจันทร์,ร้านจำหน่ายอาหาร,กุดป่อง,เมืองเลย,เลย,SAN,2025-07-06,รับรอง
มะกัน,ร้านจำหน่ายอาหาร,กุดป่อง,เมืองเลย,เลย,SAN,2024-06-13,ไม่ผ่านเกณฑ์
ครัวนิด,ร้านจำหน่ายอาหาร,กุดป่อง,เมืองเลย,เลย,SAN,2025-07-06,รับรอง
แซบนิยม,ร้านจำหน่ายอาหาร,กุดป่อง,เมืองเลย,เลย,SAN,2025-07-06,รับรอง
เมืองเลยโภชนา,ร้านจำหน่ายอาหาร,กุดป่อง,เมืองเลย,เลย,SAN,2024-07-08,ไม่ผ่านเกณฑ์
ต้องมาตำ,ร้านจำหน่ายอาหาร,กุดป่อง,เมืองเลย,เลย,SAN,2025-07-05,รับรอง
อาหารเจเพื่อสุขภาพ,ร้านจำหน่ายอาหาร,กุดป่อง,เมืองเลย,เลย,SAN,2025-07-06,รับรอง
ข้าวแกงโพธิ์ทอง,ร้านจำหน่ายอาหาร,กุดป่อง,เมืองเลย,เลย,SAN,2024-06-24,ไม่ผ่านเกณฑ์
บ้านฉัน,ร้านเครื่องดื่ม,กุดป่อง,เมืองเลย,เลย,SAN PLUS,2025-01-23,รับรอง
ซุปเปอร์ดั๊ก เป็ดย่างนาหนอง,ร้านจำหน่ายอาหาร,กุดป่อง,เมืองเลย,เลย,SAN,2023-04-24,ไม่ผ่านเกณฑ์
our cafe,ร้านเครื่องดื่ม,กุดป่อง,เมืองเลย,เลย,SAN,2024-06-20,ไม่ผ่านเกณฑ์
koom kaweh & tree,ร้านเครื่องดื่ม,กุดป่อง,เมืองเลย,เลย,SAN,2025-04-02,รับรอง
TINY TEY COFFEE AND BAKED,ร้านเครื่องดื่ม,กุดป่อง,เมืองเลย,เลย,SAN,2025-06-13,รับรอง
จ่อยลาบเป็ด,ร้านจำหน่ายอาหาร,กุดป่อง,เมืองเลย,เลย,SAN,2024-07-08,ไม่ผ่านเกณฑ์
