name,type,subdistrict,district,province,standard,approve_date,status
ร้านริมทางสเต็กเฮาส์,ร้านจำหน่ายอาหาร,ทุ่งโฮ้ง,เมืองแพร่,แพร่,SAN,2024-08-27,ไม่ผ่านเกณฑ์
ร้านฮ่มไม้ปลายนา,ร้านจำหน่ายอาหาร,ทุ่งโฮ้ง,เมืองแพร่,แพร่,SAN,2024-08-27,ไม่ผ่านเกณฑ์
ร้านฮ่อมแม่ก๋อน,ร้านจำหน่ายอาหาร,ช่อแฮ,เมืองแพร่,แพร่,SAN,2024-09-23,รับรอง
บ้านม่อนนกยูง,ร้านจำหน่ายอาหาร,ช่อแฮ,เมืองแพร่,แพร่,SAN,2025-01-17,รับรอง
ร้านม่อนกล่ำ,ร้านจำหน่ายอาหาร,ช่อแฮ,เมืองแพร่,แพร่,มาตรฐาน SAN,2024-08-27,หมดอายุ
กนิษฐารีสอร์ท,สวนอาหาร,ช่อแฮ,เมืองแพร่,แพร่,SAN,2024-08-27,ไม่ผ่านเกณฑ์
Growth Zone,ร้านจำหน่ายอาหาร,ช่อแฮ,เมืองแพร่,แพร่,SAN PLUS,2025-01-27,รับรอง
ร้านฮ่มไม้ปลายนา,ร้านจำหน่ายอาหาร,ทุ่งโฮ้ง,เมืองแพร่,แพร่,SAN PLUS,2025-01-28,รับรอง
ณ พลอย,ร้านเครื่องดื่ม,นาจักร,เมืองแพร่,แพร่,SAN,2024-09-06,รับรอง
Tee Coffee,ร้านเครื่องดื่ม,นาจักร,เมืองแพร่,แพร่,SAN,2024-08-21,ไม่ผ่านเกณฑ์
เลอกองเก่า,ร้านเครื่องดื่ม,ในเวียง,เมืองแพร่,แพร่,SAN,2024-09-06,รับรอง
เฌอบาร์ (Je-bar),ร้านเครื่องดื่ม,ในเวียง,เมืองแพร่,แพร่,SAN,2024-09-06,รับรอง
สโลป คอฟฟี่ บ้านเบ้วว,ร้านเครื่องดื่ม,ในเวียง,เมืองแพร่,แพร่,SAN,2024-08-14,ไม่ผ่านเกณฑ์
Balance Cup Espresso & Slow bar,ร้านเครื่องดื่ม,ในเวียง,เมืองแพร่,แพร่,SAN,2024-08-14,ไม่ผ่านเกณฑ์
Sugar bites,ร้านเครื่องดื่ม,ในเวียง,เมืองแพร่,แพร่,SAN,2024-08-14,ไม่ผ่านเกณฑ์
ช่อแฮ คาเฟ่,ร้านเครื่องดื่ม,ป่าแดง,เมืองแพร่,แพร่,SAN,2024-09-06,รับรอง
โอบอุ่น,ร้านเครื่องดื่ม,ช่อแฮ,เมืองแพร่,แพร่,SAN,2024-08-27,ไม่ผ่านเกณฑ์
Mpresso,ร้านเครื่องดื่ม,นาจักร,เมืองแพร่,แพร่,SAN,2024-08-21,ไม่ผ่านเกณฑ์
สวนไซทอง,สวนอาหาร,แม่จั๊วะ,เด่นชัย,แพร่,SAN,2024-08-14,ไม่ผ่านเกณฑ์
The pool sky,สวนอาหาร,เด่นชัย,เด่นชัย,แพร่,SAN,2024-08-14,ไม่ผ่านเกณฑ์
ไร่ธนโชติ,ร้านจำหน่ายอาหาร,ช่อแฮ,เมืองแพร่,แพร่,SAN,2024-08-27,ไม่ผ่านเกณฑ์
ริโกะเจแปนนิสเรสเทอร์รองท์,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2024-10-22,รับรอง
จูบี้ เบเกอรี่,ร้านเครื่องดื่ม,ในเวียง,เมืองแพร่,แพร่,SAN,2025-01-22,รับรอง
เค้กน้องหญิง,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2024-10-22,รับรอง
Ever cafe,ร้านเครื่องดื่ม,ในเวียง,เมืองแพร่,แพร่,SAN,2025-01-22,รับรอง
ราชาลอย,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2024-10-22,รับรอง
อมูเวทแอนด์คอมมิค คาเฟ่,ร้านเครื่องดื่ม,ในเวียง,เมืองแพร่,แพร่,SAN,2025-01-22,รับรอง
ทรงศิลป์กาแฟสด,ร้านเครื่องดื่ม,ในเวียง,เมืองแพร่,แพร่,SAN,2024-10-22,รับรอง
164 cafe,ร้านเครื่องดื่ม,ในเวียง,เมืองแพร่,แพร่,SAN,2025-01-22,รับรอง
ปลาร้าหอม กาดกองเก่า,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2024-10-22,ไม่ผ่านเกณฑ์
Nomad crffbeer cafe,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2024-10-22,ไม่ผ่านเกณฑ์
บาร์ยำแซ่บ,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-01-22,รับรอง
โฮะ คาเฟ่,ร้านเครื่องดื่ม,ในเวียง,เมืองแพร่,แพร่,SAN,2024-10-22,ไม่ผ่านเกณฑ์
Arcadia cafe and bistro,ร้านเครื่องดื่ม,ในเวียง,เมืองแพร่,แพร่,SAN,2025-01-22,รับรอง
OTSO Cafe Bistro,ร้านเครื่องดื่ม,ในเวียง,เมืองแพร่,แพร่,SAN,2024-10-22,ไม่ผ่านเกณฑ์
ไอกรุ่นกลางเวียง,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2024-10-22,รับรอง
ไผ่เหลือง,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2024-10-22,ไม่ผ่านเกณฑ์
บาร์ทองดี,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2024-10-22,รับรอง
ชาร็อต ฮิมคอฟฟี่แอนด์ทีบาร์,ร้านเครื่องดื่ม,ในเวียง,เมืองแพร่,แพร่,SAN,2024-10-22,ไม่ผ่านเกณฑ์
ที่นี่นครแพร่คอฟฟี่อินคา,ร้านเครื่องดื่ม,ในเวียง,เมืองแพร่,แพร่,SAN,2025-05-02,รับรอง
CK coffee,ร้านเครื่องดื่ม,ในเวียง,เมืองแพร่,แพร่,SAN,2025-01-22,รับรอง
เดอะซัน,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2024-10-22,ไม่ผ่านเกณฑ์
วู้ดดี้ขนมเส้นน้ำย้อย,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2024-10-22,รับรอง
ผาย คาเฟ่,ร้านเครื่องดื่ม,ในเวียง,เมืองแพร่,แพร่,SAN,2024-10-22,รับรอง
สเต๊กคาวบอย,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-01-22,รับรอง
บีฟชาบู,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2024-10-22,ไม่ผ่านเกณฑ์
เจ๊เล็กข้าวซอย,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2024-10-22,รับรอง
รสนิยม,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2024-10-22,ไม่ผ่านเกณฑ์
นิคคอฟฟี่,ร้านเครื่องดื่ม,ในเวียง,เมืองแพร่,แพร่,SAN,2025-01-22,รับรอง
เมืองแป้กาแฟโบราณ,ร้านเครื่องดื่ม,ในเวียง,เมืองแพร่,แพร่,SAN,2025-05-03,รับรอง
ครัวภูเก็ต,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2024-10-22,ไม่ผ่านเกณฑ์
9-10 คอฟฟี่อินคา,ร้านเครื่องดื่ม,ในเวียง,เมืองแพร่,แพร่,SAN,2025-01-22,รับรอง
เฟรส มิลล์ แอนด์ คัพเค้ก Cups Milk,ร้านเครื่องดื่ม,ในเวียง,เมืองแพร่,แพร่,SAN,2025-05-02,รับรอง
รสโอชา,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-01-22,รับรอง
เย็นตาโฟต้มยำจี๊ดจ๊าด,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-01-22,รับรอง
Milkland สาขาแพร่,ร้านเครื่องดื่ม,ในเวียง,เมืองแพร่,แพร่,SAN,2024-10-24,ไม่ผ่านเกณฑ์
กุ๊กซุน,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-01-22,รับรอง
ขาหมูอากง,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2024-10-22,รับรอง
ลำเว้ยเฮ้ย,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2024-10-22,รับรอง
ก๋วยเตี๋ยวแม่จี๋มอย,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2024-10-22,รับรอง
ก๋วยเตี๋ยวมะเก่า,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2024-10-24,ไม่ผ่านเกณฑ์
P House Cafe,ร้านเครื่องดื่ม,ในเวียง,เมืองแพร่,แพร่,SAN,2024-10-22,รับรอง
ประจำนมสด,ร้านเครื่องดื่ม,ในเวียง,เมืองแพร่,แพร่,SAN,2025-05-03,รับรอง
ข้าวกาญจนบุรี,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2024-10-24,ไม่ผ่านเกณฑ์
1994,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2024-10-22,รับรอง
อเมซอนแพทอง,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,มาตรฐาน SAN,2024-10-24,หมดอายุ
ก๋วยเตี๋ยวแม่ฟองจันทร์,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2024-10-22,รับรอง
ปภาวิน,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2024-10-22,รับรอง
ก๋วยเตี๋ยวเรือเจ้กี้,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,มาตรฐาน SAN,2024-10-24,หมดอายุ
ตำลำยำเมาะ,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,มาตรฐาน SAN,2024-10-24,หมดอายุ
ข้าวมันไก่แต้จิ๋ว,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-01-13,รับรอง
ก๋วยเตี๋ยวเมียช่าง,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-01-13,รับรอง
Cidni breakfast and brunch,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-05-05,รับรอง
เฮือนกาแฟนานาคอฟฟี่,ร้านเครื่องดื่ม,ในเวียง,เมืองแพร่,แพร่,SAN,2025-01-13,รับรอง
ครัวเฮียไก่,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-01-13,รับรอง
ก้อย ซูชิ,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-01-13,รับรอง
น้องภัทร,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-01-13,รับรอง
โฮมเมดสลัดบาร์,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-01-13,รับรอง
ย่างเนย STATION,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-01-13,รับรอง
ขนมจีนหลังโรงเรียนพิริยาลัย,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-01-13,รับรอง
สดชื่น,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-05-05,รับรอง
ต่ายเบเกอรี่,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-01-13,รับรอง
เจ๊จิ๋ว,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-01-13,รับรอง
ร้านอาหารตุ่ม,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-05-05,รับรอง
เอย แอนด์ อาร์ท ซูซิเบิร์นไฟ,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-01-13,รับรอง
ลูกแก้ว,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-01-13,รับรอง
HOM2493,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-01-13,รับรอง
สภา,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-01-13,รับรอง
ก๋วยเตี๋ยวปลาระเบิด,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-05-05,รับรอง
นาตอง คาเฟ่,ร้านเครื่องดื่ม,ในเวียง,เมืองแพร่,แพร่,SAN,2025-01-13,รับรอง
เฮ้าส์คาเฟ่,ร้านเครื่องดื่ม,ในเวียง,เมืองแพร่,แพร่,SAN,2025-01-13,รับรอง
ครัวคุณแม่,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-05-05,รับรอง
จินเจอร์เบลดเฮ้าส์ คาเฟ่แอนด์แกลลอรี่,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-01-13,รับรอง
ร้านอาหารปั๋นใจ๋,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-05-05,รับรอง
ซามูไรซูซิ แพร่,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-01-13,รับรอง
ฮิมคือคาเฟ่,ร้านเครื่องดื่ม,ในเวียง,เมืองแพร่,แพร่,SAN,2025-01-13,รับรอง
Heng ข้าวมันไก่,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-01-13,รับรอง
แพร่ซูซิเบิร์นไฟ,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-01-13,รับรอง
มายเวียดนาม,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-01-13,รับรอง
ร้านลุงเพ็ชร,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-05-05,รับรอง
ฮังเล คอฟฟี่,ร้านเครื่องดื่ม,ในเวียง,เมืองแพร่,แพร่,SAN,2025-05-08,รับรอง
ร้านกาดพระนอน,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-05-08,รับรอง
ซน,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-05-08,รับรอง
KFC โลตัสแพร่,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-05-08,รับรอง
มะลิร้อยบาร์,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-05-08,รับรอง
ก๋วยเตี๋ยวต้มยำมะลิร้อย,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2024-10-24,ไม่ผ่านเกณฑ์
กีบล้านเส้น,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-05-08,รับรอง
ชุนทิพย์รส,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2025-05-08,รับรอง
ภูมิใจเวียดนาม,ร้านจำหน่ายอาหาร,ร้องกวาง,ร้องกวาง,แพร่,SAN PLUS,2025-07-09,รับรอง
999ข้าวมันไก่,ร้านจำหน่ายอาหาร,ร้องกวาง,ร้องกวาง,แพร่,SAN,2024-12-04,รับรอง
มัณทนา,ร้านจำหน่ายอาหาร,ร้องกวาง,ร้องกวาง,แพร่,SAN,2024-12-04,รับรอง
ทูเก็ตเตอร์ บาร์แอนด์คาเฟ่ (Together Bar&Café),ร้านจำหน่ายอาหาร,หนองม่วงไข่,หนองม่วงไข่,แพร่,SAN,2024-12-04,รับรอง
Koharu Home Kitchen,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2024-08-30,ไม่ผ่านเกณฑ์
Allmourlofe café,ร้านจำหน่ายอาหาร,ทุ่งโฮ้ง,เมืองแพร่,แพร่,SAN,2024-08-27,ไม่ผ่านเกณฑ์
ข้าวมันไก่อรทัย,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2024-10-22,ไม่ผ่านเกณฑ์
เบญจพรกระเพาะปลา,ร้านจำหน่ายอาหาร,ในเวียง,เมืองแพร่,แพร่,SAN,2024-10-22,ไม่ผ่านเกณฑ์
สวนอ้อมทอง,สวนอาหาร,เด่นชัย,เด่นชัย,แพร่,SAN,2024-08-14,ไม่ผ่านเกณฑ์
101 Taiwanese Shabu Shabu,ร้านจำหน่ายอาหาร,นาจักร,เมืองแพร่,แพร่,SAN,2024-08-21,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวโคขุนรสดีเด็ด,ร้านจำหน่ายอาหาร,นาจักร,เมืองแพร่,แพร่,SAN,2024-08-21,ไม่ผ่านเกณฑ์
ณ แป้ ,ร้านจำหน่ายอาหาร,ร้องเข็ม,ร้องกวาง,แพร่,SAN,2024-08-14,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวช้อนทอง,ร้านจำหน่ายอาหาร,นาจักร,เมืองแพร่,แพร่,SAN,2025-05-28,รับรอง
ลองแซ่บ,ร้านจำหน่ายอาหาร,สมเด็จเจ้าพระยา,ลอง,แพร่,SAN,2024-08-14,ไม่ผ่านเกณฑ์
ครัวปรีชา,ร้านจำหน่ายอาหาร,ทุ่งโฮ้ง,เมืองแพร่,แพร่,SAN,2024-08-27,ไม่ผ่านเกณฑ์
31 Thirty one,ร้านจำหน่ายอาหาร,นาจักร,เมืองแพร่,แพร่,SAN,2024-08-21,ไม่ผ่านเกณฑ์
แสงมุมแซ่บ,ร้านจำหน่ายอาหาร,นาจักร,เมืองแพร่,แพร่,SAN,2024-08-21,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวหนานหนวด,ร้านจำหน่ายอาหาร,นาจักร,เมืองแพร่,แพร่,มาตรฐาน SAN,2024-08-21,หมดอายุ
สุกี้หงส์แดง,ร้านจำหน่ายอาหาร,นาจักร,เมืองแพร่,แพร่,SAN,2024-08-21,ไม่ผ่านเกณฑ์
ปิ่นโต,ร้านจำหน่ายอาหาร,นาจักร,เมืองแพร่,แพร่,SAN,2024-08-21,ไม่ผ่านเกณฑ์
สไมล์,ร้านจำหน่ายอาหาร,นาจักร,เมืองแพร่,แพร่,SAN,2024-08-21,ไม่ผ่านเกณฑ์
ผัดไท,ศูนย์อาหาร,นาจักร,เมืองแพร่,แพร่,SAN,2024-08-21,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวนครปฐม,ศูนย์อาหาร,นาจักร,เมืองแพร่,แพร่,มาตรฐาน SAN,2024-08-21,หมดอายุ
ข้าวมันไก่นครปฐม,ศูนย์อาหาร,นาจักร,เมืองแพร่,แพร่,มาตรฐาน SAN,2024-08-21,หมดอายุ
