name,type,subdistrict,district,province,standard,approve_date,status
ข้าวมันไก่ศรีวัย แม่ฮ่องสอน,ร้านจำหน่ายอาหาร,จองคำ,เมืองแม่ฮ่องสอน,แม่ฮ่องสอน,SAN,2025-06-30,ไม่ผ่านเกณฑ์
หับเผย by แม่สะเรียง,ร้านจำหน่ายอาหาร,แม่สะเรียง,แม่สะเรียง,แม่ฮ่องสอน,SAN,2024-08-27,ไม่ผ่านเกณฑ์
ร้านก๋วยเตี๋ยวบ้านหิน,ร้านจำหน่ายอาหาร,สบป่อง,ปางมะผ้า,แม่ฮ่องสอน,SAN,2025-06-10,รับรอง
ร้านนอร์ทเทอร์ฮิลล์,ร้านจำหน่ายอาหาร,สบป่อง,ปางมะผ้า,แม่ฮ่องสอน,SAN,2025-06-10,รับรอง
ร้านอาหารไข่มุก,ร้านจำหน่ายอาหาร,จองคำ,เมืองแม่ฮ่องสอน,แม่ฮ่องสอน,SAN PLUS,2024-05-09,หมดอายุ
ร้านสเต็กลุงโจว์,ร้านจำหน่ายอาหาร,จองคำ,เมืองแม่ฮ่องสอน,แม่ฮ่องสอน,SAN,2025-07-04,รับรอง
ข้าวมันไก่สงขลา,ร้านจำหน่ายอาหาร,สบป่อง,ปางมะผ้า,แม่ฮ่องสอน,SAN,2025-07-01,รับรอง
น้องนุ่น,ร้านจำหน่ายอาหาร,สบป่อง,ปางมะผ้า,แม่ฮ่องสอน,SAN,2024-09-09,รับรอง
ครัวต้นนุ่น,ร้านจำหน่ายอาหาร,สบป่อง,ปางมะผ้า,แม่ฮ่องสอน,SAN,2024-09-09,รับรอง
น้องฝ้ายลาบฝาง,ร้านจำหน่ายอาหาร,สบป่อง,ปางมะผ้า,แม่ฮ่องสอน,SAN,2024-08-23,ไม่ผ่านเกณฑ์
ก๋วยจั๊บริมเวียง,ร้านจำหน่ายอาหาร,ปางมะผ้า,ปางมะผ้า,แม่ฮ่องสอน,SAN,2024-09-09,รับรอง
จันทร์ศรี,ร้านจำหน่ายอาหาร,สบป่อง,ปางมะผ้า,แม่ฮ่องสอน,SAN,2024-04-24,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวเรือกัลยา,ร้านจำหน่ายอาหาร,สบป่อง,ปางมะผ้า,แม่ฮ่องสอน,SAN,2024-09-09,รับรอง
ครัวเฮินไต,ร้านจำหน่ายอาหาร,แม่ลาน้อย,แม่ลาน้อย,แม่ฮ่องสอน,SAN,2024-09-06,รับรอง
ร้านนัดกัน,ร้านจำหน่ายอาหาร,แม่ลาน้อย,แม่ลาน้อย,แม่ฮ่องสอน,SAN,2024-09-06,รับรอง
ร้านแจงคอฟฟี่,ร้านจำหน่ายอาหาร,แม่ลาน้อย,แม่ลาน้อย,แม่ฮ่องสอน,SAN,2024-05-29,ไม่ผ่านเกณฑ์
ครัววิวนา,ร้านจำหน่ายอาหาร,แม่ลาน้อย,แม่ลาน้อย,แม่ฮ่องสอน,SAN,2025-03-24,รับรอง
ร้านจิตติมา,ร้านจำหน่ายอาหาร,สันติคีรี,แม่ลาน้อย,แม่ฮ่องสอน,SAN PLUS,2024-07-15,หมดอายุ
ริมทางแม่ลาหลวง,ร้านเครื่องดื่ม,แม่ลาหลวง,แม่ลาน้อย,แม่ฮ่องสอน,SAN,2025-07-17,ไม่ผ่านเกณฑ์
